C,accuracy,FNR,flip_rate_keyword_stuffing
0.01,0.6466898954703832,0.2635135135135135,0.1695501730103806
0.1,0.6397212543554007,0.3054054054054054,0.9873015873015873
1.0,0.6306620209059234,0.33918918918918917,1.0
10.0,0.6292682926829268,0.34054054054054056,1.0
100.0,0.6285714285714286,0.33918918918918917,1.0
